Information,,NIF,Icon,Figleaf,,Anim,Weapon,Skeleton,Item Node,Skeleton,Item Node,Sound,Sound Material,Animated,Death,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Glow,Interact,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon
8638,Tier 3 Shared Generic Body_B,,3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_02_B_body,3504,Armor_med_03_B_Body,3504,armor_cast_02_b_body,3504,DW_Armor_EN_02_Body,3518,OR_armor_BO_02_body,1509,Armor_med_03_B_Body,3504,GO_Armor_SH_02_Body,1569,Armor_light_02_B_body,3504,armor_light_02_a_body,3504,armor_hvy_02_b_body,3504,armor_cast_02_A_body,3504,armor_mcast_02_b_body,3504,armor_hvy_02_a_body,3504,Armor_Med_02_B_Body,3504,armor_cast_02_a_body,3504,cm_armor_ma_02_body,6003,Armor_hvy_02_A_body,3504,HE_Armor_SW_02_body,14247,Armor_Med_02_B_Body,3504,Armor_cast_02_A_body,3504,Armor_hvy_02_A_body,3504,armor_light_02_b_body,3504,armor_mcast_02_a_body,3504,armor_cast_02_a_body,3504
8639,Tier 3 Shared Generic Glove_A,,3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_02_gloves,3567,Armor_med_03_A_Gloves,3503,DW_Armor_RP_02_gloves,3598,armor_light_02_b_gloves,3503,Armor_hvy_02_A_gloves,3503,Armor_med_03_A_Gloves,3503,Armor_cast_02_B_gloves,3503,GO_Armor_SQ_02_Gloves,1606,armor_light_02_b_gloves,3503,em_armor_kn_03_gloves,8927,armor_cast_01_A_gloves,3503,armor_mcast_02_a_gloves,3503,armor_hvy_02_b_gloves,3503,CW_Armor_MR_03_Gloves,6127,armor_cast_02_b_gloves,3503,cm_armor_ma_03_gloves,6052,HE_Armor_SM_02_gloves,14226,Armor_light_02_A_gloves,3503,armor_med_02_b_gloves,3503,HE_Armor_AM_03_gloves,14209,DE_Armor_BG_02_gloves,11817,de_armor_we_02_gloves,11762,armor_mcast_02_a_gloves,3503,de_armor_so_02_gloves,11738
8640,Tier 3 Shared Generic Glove_B,,3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_02_B_gloves,3503,Armor_med_03_B_Gloves,3503,armor_cast_02_b_gloves,3503,DW_Armor_EN_02_gloves,3520,Armor_hvy_03_A_gloves,3503,Armor_med_03_B_Gloves,3503,Armor_cast_01_B_gloves,3503,Armor_light_02_B_Gloves,3503,em_armor_wh_02_gloves,8862,armor_hvy_02_a_gloves,3503,armor_cast_01_B_gloves,3503,armor_mcast_02_b_gloves,3503,cw_armor_cc_02_gloves,6022,Armor_Med_02_B_Gloves,3503,armor_cast_02_a_gloves,3503,cm_armor_ma_02_gloves,6007,Armor_hvy_02_A_gloves,3503,HE_Armor_SW_02_gloves,14249,HE_Armor_WL_02_Gloves,14284,Armor_cast_02_A_gloves,3503,armor_hvy_02_A_gloves,3503,armor_light_02_a_gloves,3503,armor_mcast_02_b_gloves,3503,armor_cast_02_b_gloves,3503
8641,Tier 3 Shared Generic Shoulder_A,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_01_Shoulder,3564,Armor_med_03_A_Shoulder,3502,DW_Armor_RP_02_A_Shoulder,3600,DW_Armor_EN_02_B_Shoulder,3522,Armor_hvy_02_A_shoulder,3502,Armor_med_03_A_Shoulder,3502,Armor_cast_02_A_shoulder,3502,GO_Armor_SQ_01_Shoulder,1603,armor_light_02_a_shoulder,3502,em_armor_kn_03_shoulder,8929,armor_cast_02_A_shoulder,3502,armor_mcast_02_b_shoulder,3502,cw_armor_cc_02_shoulder,6024,Armor_Med_03_A_Shoulder,3502,cm_armor_ze_02_a_shoulder,6099,armor_mcast_04_b_shoulder,3502,HE_Armor_SM_02_Shoulder,14228,HE_Armor_SW_03_Shoulder,14257,Armor_Med_02_B_Shoulder,3502,Armor_cast_05_B_shoulder,3502,DE_Armor_BG_04_Shoulder,11831,armor_light_03_a_shoulder,3502,armor_mcast_02_b_shoulder,3502,de_armor_so_02_a_shoulder,11740
8642,Tier 3 Shared Generic Shoulder_B,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_02_A_Shoulder,3502,Armor_med_03_B_Shoulder,3502,DW_Armor_RP_02_shoulder,3600,Armor_Light_02_A_shoulder,3502,OR_armor_BO_02_shoulder,1513,Armor_med_03_B_Shoulder,3502,GO_Armor_SH_02_B_Shoulder,1573,Armor_light_02_B_Shoulder,3502,em_armor_wh_03_shoulder,8870,em_armor_kn_02_b_shoulder,3502,armor_cast_02_B_shoulder,3502,EM_Armor_WP_02_B_Shoulder,8832,cw_armor_cc_02_a_shoulder,6024,CW_Armor_MR_03_Shoulder,6129,cm_armor_ze_02_shoulder,6099,armor_mcast_03_b_shoulder,3502,Armor_hvy_02_A_Shoulder,3502,Armor_light_03_A_Shoulder,3502,Armor_Med_02_A_Shoulder,3502,Armor_cast_04_B_shoulder,3502,Armor_hvy_02_B_shoulder,3502,armor_light_02_a_shoulder,3502,de_armor_dk_03_shoulder,11716,de_armor_so_02_b_shoulder,11740
8643,Tier 3 Shared Generic Shoulder_C,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_02_B_Shoulder,3569,DW_Armor_SL_03_A_Shoulder,3502,armor_cast_02_a_shoulder,3502,DW_Armor_EN_03_B_Shoulder,3528,Armor_hvy_03_B_shoulder,3502,OR_Armor_BZ_03_A_Shoulder,1543,GO_Armor_SH_03_Shoulder,1579,Armor_light_05_B_Shoulder,3502,armor_light_04_b_shoulder,3502,armor_hvy_02_a_shoulder,3502,armor_cast_04_A_shoulder,3502,EM_Armor_WP_03_A_Shoulder,8894,cw_armor_cc_02_b_shoulder,6024,Armor_Med_03_A_Shoulder,3502,cm_armor_ze_02_b_shoulder,6099,armor_mcast_02_a_shoulder,3502,Armor_hvy_04_B_Shoulder,3502,Armor_light_01_B_Shoulder,3502,HE_Armor_WL_03_A_Shoulder,14292,HE_Armor_AM_02_Shoulder,14205,Armor_hvy_03_B_shoulder,3502,de_armor_we_03_B_shoulder,11770,de_armor_dk_02_b_shoulder,11710,de_armor_so_01_shoulder,11734
8644,Tier 3 Shared Generic Shoulder_D,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_02_A_Shoulder,3569,DW_Armor_SL_03_B_Shoulder,3502,DW_Armor_RP_02_shoulder,3600,Armor_Light_05_A_shoulder,3502,Armor_hvy_02_A_shoulder,3502,OR_Armor_BZ_03_B_Shoulder,1543,GO_Armor_SH_02_A_Shoulder,1573,GO_Armor_SQ_01_Shoulder,1603,armor_light_04_b_shoulder,3502,em_armor_kn_02_b_shoulder,3502,armor_cast_02_A_shoulder,3502,EM_Armor_WP_02_B_Shoulder,8832,cw_armor_cc_02_a_shoulder,6024,CW_Armor_MR_03_Shoulder,6129,cm_armor_ze_02_a_shoulder,6099,cm_armor_ma_02_a_shoulder,6010,HE_Armor_SM_02_Shoulder,14228,HE_Armor_SW_02_A_Shoulder,14251,HE_Armor_WL_02_B_Shoulder,14286,HE_Armor_AM_02_Shoulder,14205,Armor_hvy_02_B_shoulder,3502,de_armor_we_02_B_shoulder,11763,armor_mcast_02_b_shoulder,3502,de_armor_so_02_a_shoulder,11740
8645,Tier 3 Shared Generic Helm_A,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Helm_IB_01,3563,Crown_med_03_B,3501,DW_Helm_RP_03_B,3605,helm_light_02_B,3501,Helm_hvy_02_B,3501,Helm_med_03_A,3501,GO_Helm_SH_03,1578,GO_Helm_SQ_01,1602,em_helm_wh_02_a,8863,em_helm_kn_02,8923,EM_helm_BW_02,8811,crown_mcast_02_b,3501,cw_helm_cc_02,6023,Helm_Med_02_A,3501,cm_helm_ze_04,6110,helm_mcast_02_b,3501,HE_helm_SM_02,14227,helm_light_03_A,3501,Helm_Med_02_B,3501,Crown_cast_02_A,3501,DE_helm_BG_02,11818,de_helm_we_02_A,11763,crown_mcast_02_a,3501,de_helm_so_02,11739
8646,Tier 3 Shared Generic Helm_B,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helm_hvy_02_B,3501,Crown_med_03_A,3501,helm_cast_02_b,3501,helm_light_02_a,3501,OR_helm_BO_02,1512,Helm_med_03_A,3501,GO_Helm_SH_02_A,1572,GO_Helm_SQ_02_A,1607,hat_light_02_b,3501,em_helm_kn_02_a,1602,crown_cast_02_B,3501,crown_mcast_02_a,3501,helm_hvy_02_a,3501,Helm_Med_02_B,3501,cm_helm_ze_02,6098,cm_helm_ma_04_b,6144,helm_hvy_03_B,3501,helm_light_02_A,3501,HE_Helm_WL_02_A,14285,HE_Helm_AM_02_A,14204,helm_hvy_02_B,3501,de_helm_we_03,11769,de_helm_dk_02,11709,de_helm_so_02_a,11739
8647,Tier 3 Shared Generic Helm_C,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helm_hvy_02_B,3501,DW_Helm_SL_03_A,3501,helm_cast_02_b,3501,helm_light_02_B,3501,Helm_hvy_02_B,3501,OR_Helm_BZ_03_A,1542,GO_Helm_SH_02_A,1572,GO_Helm_SQ_01,1602,em_helm_wh_02_a,8863,em_helm_kn_02,8923,EM_helm_BW_02,8811,crown_mcast_02_b,3501,helm_hvy_02_a,3501,Helm_Med_02_A,3501,cm_helm_ze_02,6098,helm_mcast_02_b,3501,HE_helm_SM_02,14227,helm_light_03_A,3501,Helm_Med_02_B,3501,HE_Helm_AM_02_A,14204,DE_helm_BG_02,11818,de_helm_we_02_A,11763,de_helm_dk_02,11709,crown_cast_02_a,3501
8648,Tier 4 Shared Generic Boot_A,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_04_boots,3680,Armor_med_04_A_Boots,3500,armor_cast_03_b_boots,3500,armor_light_03_a_boots,3500,Armor_hvy_02_A_boots,3500,Armor_med_04_A_Boots,3500,GO_Armor_SH_03_boots,1576,Armor_Light_02_B_boots,3500,armor_light_02_a_boots,3500,armor_hvy_02_b_boots,3500,armor_cast_02_B_boots,3500,EM_Armor_WP_03_Boots,8891,armor_hvy_03_a_boots,3500,CW_Armor_MR_02_Boots,6068,cm_armor_ze_03_boots,6102,armor_mcast_02_a_boots,3500,Armor_hvy_02_B_boots,3500,Armor_light_03_B_boots,3500,armor_med_02_a_boots,3500,HE_Armor_AM_02_boots,14202,armor_hvy_02_A_boots,3500,armor_light_02_a_boots,3500,de_armor_dk_02_boots,11707,armor_cast_02_a_boots,3500
8649,Tier 4 Shared Generic Boot_B,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_02_A_boots,3500,Armor_med_04_B_Boots,3500,DW_Armor_RP_03_boots,3603,DW_Armor_EN_03_boots,3525,Armor_hvy_04_A_boots,3500,Armor_med_04_B_Boots,3500,Armor_cast_04_A_boots,3500,Armor_Light_03_A_boots,3500,em_armor_wh_03_boots,8867,armor_hvy_03_b_boots,3500,armor_cast_03_B_boots,3500,armor_mcast_03_a_boots,3500,armor_hvy_02_a_boots,3500,Armor_Med_03_B_Boots,3500,armor_cast_02_b_boots,3500,armor_mcast_02_a_boots,3500,Armor_hvy_03_A_boots,3500,Armor_light_03_A_boots,3500,armor_med_03_a_boots,3500,Armor_cast_02_B_boots,3500,DE_Armor_BG_03_boots,11822,de_armor_we_03_boots,11767,de_armor_dk_03_boots,11713,armor_cast_03_b_boots,3500
8650,Tier 4 Shared Generic Belt_A,,3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_01_belt,3559,Armor_med_04_A_Belt,3510,armor_cast_01_a_belt,3510,DW_Armor_EN_03_belt,3523,OR_armor_BO_04_belt,1660,Armor_med_04_A_Belt,3510,Armor_cast_03_B_belt,3510,GO_Armor_SQ_02_belt,1687,em_armor_wh_02_belt,8859,armor_hvy_02_b_belt,3510,armor_cast_03_B_belt,3510,EM_Armor_WP_03_Belt,8889,cw_armor_cc_03_belt,6025,Armor_Med_04_A_Belt,3510,cm_armor_ze_04_belt,6106,armor_mcast_03_a_belt,3510,Armor_hvy_02_A_belt,3510,HE_Armor_SW_04_belt,14258,HE_Armor_WL_03_Belt,14287,Armor_cast_02_B_belt,3510,DE_Armor_BG_03_Belt,11820,armor_light_02_a_belt,3510,armor_mcast_03_a_belt,3510,armor_cast_03_b_belt,3510
8651,Tier 4 Shared Generic Belt_B,,3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_02_B_belt,3510,Armor_med_04_B_Belt,3510,armor_cast_03_b_belt,3510,Armor_Light_02_A_belt,3510,OR_armor_BO_03_belt,1514,Armor_med_04_B_Belt,3510,Armor_cast_02_A_belt,3510,GO_Armor_SQ_04_belt,1688,armor_light_02_b_belt,3510,armor_hvy_03_b_belt,3510,armor_cast_02_B_belt,3510,armor_mcast_03_a_belt,3510,armor_hvy_02_b_belt,3510,CW_Armor_MR_03_Belt,6124,armor_cast_02_b_belt,3510,cm_armor_ma_03_belt,6049,Armor_hvy_03_A_belt,3510,HE_Armor_SW_03_belt,14252,Armor_Med_03_A_Belt,3510,Armor_cast_02_A_belt,3510,armor_hvy_02_A_Belt,3510,de_armor_we_04_belt,11771,de_armor_dk_03_belt,11711,de_armor_so_02_belt,11735
8652,Tier 4 Shared Generic Body_A,,3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_04_body,3679,Armor_med_04_A_Body,3504,armor_cast_03_b_body,3504,Armor_Light_03_A_body,3504,Armor_hvy_03_A_body,3504,Armor_med_04_A_Body,3504,Armor_cast_03_A_body,3504,Armor_light_02_A_body,3504,em_armor_wh_03_body,8866,em_armor_kn_02_body,8920,EM_armor_BW_03_body,8813,EM_Armor_WP_03_Body,8890,armor_hvy_03_a_body,3504,CW_Armor_MR_03_Body,6125,armor_cast_03_a_body,3504,armor_mcast_03_b_body,3504,Armor_hvy_03_B_body,3504,Armor_light_03_A_body,3504,Armor_Med_03_A_Body,3504,Armor_cast_03_A_body,3504,DE_Armor_BG_03_Body,11821,armor_light_03_b_body,3504,de_armor_dk_03_body,11712,armor_cast_03_b_body,3504
8653,Tier 4 Shared Generic Body_B,,3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_03_body,3570,Armor_med_04_B_Body,3504,DW_Armor_RP_03_Body,3602,DW_Armor_EN_03_Body,3524,OR_armor_BO_04_body,1661,Armor_med_04_B_Body,3504,GO_Armor_SH_03_Body,1575,Armor_light_03_B_body,3504,armor_light_03_a_body,3504,em_armor_kn_03_body,8925,armor_cast_03_B_body,3504,armor_mcast_03_a_body,3504,armor_hvy_03_b_body,3504,Armor_Med_03_A_Body,3504,armor_cast_03_b_body,3504,cm_armor_ma_03_body,6050,Armor_hvy_05_A_body,3504,HE_Armor_SW_03_body,14253,Armor_Med_03_B_Body,3504,HE_Armor_AM_02_body,14201,Armor_hvy_03_B_body,3504,armor_light_03_a_body,3504,armor_mcast_03_a_body,3504,armor_cast_03_a_body,3504
8654,Tier 4 Shared Generic Glove_A,,3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_03_gloves,3572,Armor_med_04_A_Gloves,3503,armor_cast_03_b_gloves,3503,armor_light_03_a_gloves,3503,Armor_hvy_03_B_gloves,3503,Armor_med_04_A_Gloves,3503,Armor_cast_03_A_gloves,3503,Armor_light_02_A_Gloves,3503,armor_light_02_a_gloves,3503,em_armor_kn_03_gloves,8927,EM_armor_BW_03_gloves,8815,EM_Armor_WP_03_Gloves,8892,cw_armor_cc_03_gloves,6028,Armor_Med_03_A_Gloves,3503,armor_cast_03_b_gloves,3503,armor_mcast_02_b_gloves,3503,Armor_hvy_03_A_gloves,3503,Armor_light_03_A_gloves,3503,HE_Armor_WL_03_Gloves,14290,HE_Armor_AM_02_gloves,14203,DE_Armor_BG_03_gloves,11823,armor_light_02_b_gloves,3503,de_armor_dk_02_gloves,11708,armor_cast_02_a_gloves,3503
8655,Tier 4 Shared Generic Glove_B,,3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_04_gloves,3681,Armor_med_04_B_Gloves,3503,DW_Armor_RP_03_gloves,3604,armor_light_02_a_gloves,3503,OR_armor_BO_04_gloves,1663,Armor_med_04_B_Gloves,3503,Armor_cast_02_A_gloves,3503,Armor_light_03_B_Gloves,3503,em_armor_wh_03_gloves,8868,armor_hvy_03_b_gloves,3503,armor_cast_03_B_gloves,3503,armor_mcast_03_a_gloves,3503,armor_hvy_02_a_gloves,3503,CW_Armor_MR_02_Gloves,6069,cm_armor_ze_02_gloves,6097,armor_mcast_02_b_gloves,3503,Armor_hvy_02_B_gloves,3503,Armor_light_02_B_gloves,3503,armor_med_03_a_gloves,3503,Armor_cast_02_B_gloves,3503,armor_hvy_03_A_gloves,3503,de_armor_we_03_gloves,11768,de_armor_dk_03_gloves,11714,armor_cast_03_b_gloves,3503
8656,Tier 4 Shared Generic Shoulder_A,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_05_B_Shoulder,3502,Armor_med_04_A_Shoulder,3502,armor_cast_05_a_shoulder,3502,DW_Armor_EN_03_Shoulder,3528,Armor_hvy_03_A_shoulder,3502,Armor_med_04_A_Shoulder,3502,Armor_cast_03_A_shoulder,3502,GO_Armor_SQ_03_B_Shoulder,1614,armor_light_03_b_shoulder,3502,em_armor_kn_02_a_shoulder,3502,Em_armor_BW_03_A_shoulder,8906,armor_mcast_05_B_shoulder,3502,armor_hvy_03_b_shoulder,3502,Armor_Med_04_A_Shoulder,3502,cm_armor_ze_03_shoulder,6105,armor_mcast_03_b_shoulder,3502,HE_Armor_SM_02_A_Shoulder,14228,Armor_light_03_B_Shoulder,3502,HE_Armor_WL_03_B_Shoulder,14292,Armor_cast_04_A_shoulder,3502,Armor_hvy_03_A_shoulder,3502,de_armor_we_03_shoulder,11770,de_armor_dk_03_b_shoulder,11716,armor_cast_02_b_shoulder,3502
8657,Tier 4 Shared Generic Shoulder_B,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_02_A_Shoulder,3569,Armor_med_04_B_Shoulder,3502,armor_cast_04_a_shoulder,3502,DW_Armor_EN_04_A_Shoulder,3689,OR_Armor_BO_04_shoulder,1665,Armor_med_04_B_Shoulder,3502,GO_Armor_SH_04_A_Shoulder,1677,GO_Armor_SQ_03_B_Shoulder,1614,armor_light_05_a_shoulder,3502,armor_hvy_03_b_shoulder,3502,EM_armor_BW_03_shoulder,3502,EM_Armor_WP_03_Shoulder,8894,cw_armor_cc_03_a_shoulder,6030,CW_Armor_MR_02_B_Shoulder,6071,armor_cast_03_a_shoulder,3502,armor_mcast_03_a_shoulder,3502,Armor_hvy_03_B_Shoulder,3502,Armor_light_02_B_Shoulder,3502,HE_Armor_WL_03_Shoulder,14292,Armor_cast_03_B_shoulder,3502,Armor_hvy_04_B_shoulder,3502,de_armor_we_04_shoulder,11776,de_armor_dk_04_shoulder,11722,armor_cast_02_a_shoulder,3502
8658,Tier 4 Shared Generic Shoulder_C,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_03_A_Shoulder,3502,DW_Armor_SL_04_A_Shoulder,3502,armor_cast_03_b_shoulder,3502,Armor_Light_03_B_shoulder,3502,OR_armor_BO_02_shoulder,1513,OR_Armor_BZ_04_A_Shoulder,3502,GO_Armor_SH_03_Shoulder,1579,Armor_light_03_B_Shoulder,3502,em_armor_wh_02_b_shoulder,8864,em_armor_kn_03_shoulder,8929,Em_armor_BW_04_B_shoulder,8907,armor_mcast_03_b_shoulder,3502,cw_armor_cc_02_shoulder,6024,CW_Armor_MR_03_A_Shoulder,6129,armor_cast_04_a_shoulder,3502,armor_mcast_04_a_shoulder,3502,HE_Armor_SM_03_Shoulder,14234,HE_Armor_SW_03_B_Shoulder,14257,HE_Armor_WL_02_Shoulder,14286,HE_Armor_AM_03_B_Shoulder,14211,DE_Armor_BG_03_Shoulder,11825,armor_light_03_b_shoulder,3502,armor_mcast_03_a_shoulder,3502,de_armor_so_03_a_shoulder,11746
8659,Tier 4 Shared Generic Shoulder_D,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_03_Shoulder,3574,DW_Armor_SL_04_B_Shoulder,3502,DW_Armor_RP_03_Shoulder,3606,Armor_Light_04_B_shoulder,3502,OR_Armor_BO_01_Shoulder,1507,OR_Armor_BZ_04_B_Shoulder,3502,Armor_cast_02_B_shoulder,3502,Armor_light_04_A_Shoulder,3502,armor_light_03_a_shoulder,3502,armor_hvy_03_a_shoulder,3502,Em_armor_BW_03_B_shoulder,8906,EM_Armor_WP_04_B_Shoulder,8895,armor_hvy_04_a_shoulder,3502,CW_Armor_MR_03_A_Shoulder,6129,armor_cast_03_b_shoulder,3502,armor_mcast_03_a_shoulder,3502,Armor_hvy_04_A_Shoulder,3502,HE_Armor_SW_02_B_Shoulder,14251,Armor_Med_04_A_Shoulder,3502,HE_Armor_AM_03_A_Shoulder,14211,Armor_hvy_05_A_shoulder,3502,de_armor_we_03_A_shoulder,11770,de_armor_dk_03_a_shoulder,11716,de_armor_so_03_b_shoulder,11746
8660,Tier 4 Shared Generic Helm_A,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helm_hvy_03_A,3501,Crown_med_04_A,3501,DW_Helm_RP_03,3605,DW_Helm_EN_02_A,3521,Helm_hvy_03_A,3501,Helm_med_04_A,3501,helm_cast_05_A,3501,GO_Helm_SQ_02,1607,em_helm_wh_04_b,8875,helm_hvy_03_b,3501,crown_cast_03_B,3501,EM_Helm_WP_03,8893,helm_hvy_03_a,3501,Helm_Med_03_A,3501,crown_cast_03_b,3501,helm_mcast_05_a,3501,helm_hvy_04_A,3501,helm_light_04_A,3501,Helm_Med_03_B,3501,HE_helm_AM_03_B,14210,de_helm_bg_03_a,3501,crown_light_02_a,3501,crown_mcast_02_b,3501,crown_cast_02_b,3501
8661,Tier 4 Shared Generic Helm_B,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helm_hvy_04_B,3501,Crown_med_04_B,3501,DW_Helm_RP_02_A,3599,helm_light_03_a,3501,Helm_hvy_02_A,3501,Helm_med_04_B,3501,helm_cast_03_a,3501,GO_Helm_SQ_03,1613,em_helm_wh_03_b,8869,em_helm_kn_03,8928,crown_cast_04_A,3501,EM_Helm_WP_02_A,8831,cw_helm_cc_02_a,6023,CW_Helm_MR_03,6128,helm_cast_02_a,3501,cm_helm_ma_02,6008,helm_hvy_04_B,3501,hat_light_03_B,3501,Helm_Med_04_B,3501,Crown_cast_04_B,3501,helm_hvy_04_B,3501,de_helm_we_03_A,11769,de_helm_dk_03,11715,de_helm_so_03_b,11745
8662,Tier 4 Shared Generic Helm_C,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Helm_IB_02_A,3568,DW_Helm_SL_04_B,3501,helm_cast_02_a,3501,DW_Helm_EN_03_B,3527,OR_helm_BO_02_C,1512,OR_Helm_BZ_04_B,3501,helm_cast_02_B,3501,Helm_light_02_B,3501,em_helm_wh_02,8863,em_helm_kn_04_b,3501,Em_helm_BW_02_A,8811,crown_mcast_03_a,3501,helm_hvy_04_b,3501,Helm_Med_05_B,3501,cm_helm_ze_03,6104,helm_mcast_02_a,3501,helm_hvy_05_A,3501,HE_helm_SW_03_A,14256,HE_Helm_WL_04,14297,HE_Helm_AM_03,14210,de_helm_bg_04_b,3501,crown_light_02_b,3501,crown_mcast_03_a,3501,de_helm_so_03,11745
8663,Tier 4 Shared Generic Helm D,,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Helm_IB_02,3568,DW_Helm_SL_04_A,3501,helm_cast_05_a,3501,DW_Helm_EN_03_A,3527,Helm_hvy_03_B,3501,OR_Helm_BZ_04_A,1602,GO_Helm_SH_03_A,1578,Helm_light_04_B,3501,em_helm_wh_03,8869,helm_hvy_02_b,3501,EM_helm_BW_03,8816,EM_Helm_WP_04_B,8899,cw_helm_cc_03,6029,Helm_Med_03_A,3501,cm_helm_ze_02_a,6098,cm_helm_ma_03_a,6128,helm_hvy_03_A,3501,HE_helm_SW_02,14250,HE_Helm_WL_03,14291,HE_Helm_AM_02,14204,de_helm_bg_03_b,3501,de_helm_we_03_B,11769,crown_mcast_03_b,3501,crown_cast_04_a,3501
8664,Tier 4+ Shared Generic Boot_A,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armor_hvy_03_B_boots,3500,Armor_med_05_A_Boots,3500,armor_cast_02_a_boots,3500,armor_light_03_b_boots,3500,OR_Armor_BO_03_Boots,1516,Armor_med_05_A_Boots,3500,Armor_cast_04_B_boots,3500,GO_Armor_SQ_03_boots,1611,armor_light_03_a_boots,3500,em_armor_kn_03_boots,8926,armor_cast_03_A_boots,3500,armor_mcast_03_b_boots,3500,cw_armor_cc_04_boots,6033,Armor_Med_03_A_Boots,3500,cm_armor_ze_04_boots,6108,armor_mcast_03_a_boots,3500,Armor_hvy_03_B_boots,3500,HE_Armor_SW_03_boots,14254,HE_Armor_WL_03_Boots,14289,HE_Armor_AM_04_boots,14214,armor_hvy_03_B_boots,3500,armor_light_03_a_boots,3500,armor_mcast_03_a_boots,3500,armor_cast_03_a_boots,3500
8665,Tier 4+ Shared Generic Boot_B,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW_Armor_IB_03_boots,3571,DW_Armor_SL_05_Boots,3721,armor_cast_03_a_boots,3500,DW_Armor_EN_04_boots,3686,Armor_hvy_03_B_boots,3500,OR_Armor_BZ_05_Boots,1550,Armor_cast_03_A_boots,3500,Armor_Light_03_B_boots,3500,armor_light_03_b_boots,3500,armor_hvy_03_a_boots,3500,EM_armor_BW_03_boots,8814,EM_Armor_WP_04_Boots,8897,armor_hvy_03_b_boots,3500,Armor_Med_02_B_Boots,3500,armor_cast_03_a_boots,3500,armor_mcast_03_b_boots,3500,HE_Armor_SM_03_boots,14231,HE_Armor_SW_04_boots,14260,armor_med_04_a_boots,3500,Armor_cast_03_B_boots,3500,armor_hvy_03_A_boots,3500,armor_light_03_b_boots,3500,armor_mcast_03_b_boots,3500,de_armor_so_03_boots,11743
